FILM SECTION,TITLE ENGLISH,TITLE ORIGINAL,COUNTRY,PRODUCTION YEAR,LANGUAGE,RUNTIME,COLOR,DIRECTOR,DIRECTOR BIO,PRODUCER,SCREENPLAY,DOP,EDITOR,CAST,LONG SYNOPSIS ENGLISH,PREMIERE,AWARDS,FESTIVAL HISTORY,LINK TRAILER,TAGS,SALES,Drive Link to Director Image,Drive Link to Film Stills,Drive Link to Poster ( If Applicable ),Drive Link to Press Kit,Instagram,Twitter,Facebook,Award Year
International Competition,Fear & Trembling,Tars o Larz,"Iran, Islamic Republic of",2024,Persian,76',Colour,"Manijeh Hekmat, Faeze Azizkhani","Manijeh Hekmat started her film career as a producer, and is now a prominent figure in Iranian cinema. Her films –including Women’s Prison (2002), Three Women (2007), and Bandar Band (2020) – have premiered at major international festivals such as Venice, Berlinale, and Toronto. A cinema student, Faeze Azizkhani participated in Abbas Kiarostami’s film workshops, and also benefited from his presence as the advisor for her debut feature film For a Rainy Day (2015). Her second feature film, The Locust (2022), was an official selection in festivals such as Karlovy Vary, SXSW, and Edinburgh Film Festival.","Manijeh Hekmat, Amir Esfandiari, Ahmad Azizkhani","Manijeh Hekmat, Faeze Azizkhani","Amir Salar, Salek Ardestani",Amir Adibparavar,"Amaneh Agharezakashi, Ahmad Azizkhani, Ghazal Ajdadi","Manzar, a woman set in her rigid ways and beliefs, has been ostracized by her family and now ekes out a lonely existence. One day, she suddenly receives a call from her sister: her niece has been arrested for not wearing a hijab. Despite implorations from her family, Manzar sticks to her fundamentalist beliefs - her niece, an unbeliever, ought to be punished for the sin she’s committed. Finding herself all alone in a changing world, and increasingly racked by fear and guilt, Manzar begins to pray for heavenly deliverance.",World Premiere,,,https://www.youtube.com/watch?v=40N10Y704V4,"Films By Women, Social Impact, De/Gendered",Irimage,Director still.jpg,Fear & Trembling,Poster.JPG,Press Kit.pdf,,,,2024
International Competition,Gulizar,Gülizar,"Turkey, Kosovo",2024,"Turkish, Albanian",84',Colour,Belkis Bayrak,"Turkish writer-director Belkis Bayrak received her MA degree in Film and Television from Istanbul Bilgi University. She founded her own production house Saba Film in 2018, and has so far made two short films, The Apartment (2018) and Cemile (2020). Bayrak is also an alumnus of the Torino Film Lab, Reclaim The Frame’s Filmonomics Program, and a member of the European Women’s Audio-visual (EWA) Network.","Belkıs Bayrak, Murat Yaşar Bayrak, Mehmet Bahadır Er, Valmira Hyseni",Belkis Bayrak,Kürşat Üresin,Selin Eren Şahin,"Ecem Uzun, Bekir Behrem, Ernest Malazogu, Hakan Yufkacıgil","Twenty-two-year-old Gülizar was raised in a loving albeit strict Turkish household full of taboos and expectations. Gulizar longs to experience what lies beyond the only world that she and the women around her have ever known. Betrothed to her beloved Emre, she is eager to leave everything behind and start a new life in Kosovo. Gülizar’s fairy tale, however, tragically turns into a nightmare when she is sexually assaulted en route. There’s seemingly little that can be done to obtain justice and, with wedding preparations in full swing, Gülizar’s aspirations for happiness appears bleak and distant. But secrets are hard to keep in close-knit societies. Told through the gaze of a woman yearning for her own internal locus of control, Gülizar delves into the complexities of trauma, societal expectations, and the universal search for self-discovery and determination.",Asia Premiere,,"Toronto International Film Festival 2024, San Sebastián International Film Festival 2024",Gülizar Official Trailer 2024 - YouTube,"Films By Women, Social Impact, De/Gendered",,Director.jpg,Gulizar,unavailable,,,,,2024
International Competition,Holy Cow,Vingt Dieux,France,2024,French,90',Colour,Louise Courvoisier,"Louise Courvoisier is a French director who grew up in Cressia in the Petite Montagne region, in a home where all forms of art rubbed shoulders with nature and rurality. Her graduation short, Mano A Mano (2019), won the first prize at the Cinéfondation at Cannes IFF. Holy Cow is her debut feature.",Muriel Meynard,"Théo Abadie, Louise Courvoisier",Elio Balezeaux,Sarah Grosset,"Clément Faveau, Luna Garret, Mathis Bernard, Dimitry Baudry, Maïwene Barthelemy","Totone, 18 years old, spends most of his time drinking beers and partying in the Jura region with his group of friends. But reality catches up with him: he has to take care of his 7-year-old sister and find a way to make a living. He then sets out to make the best Comté cheese in the region, one that would win him the gold medal at the agricultural competition and help him get 30,000 euros. Featuring authentic performances from its adolescent non-actors, Holy Cow is filled with emotional ups and downs, including the euphoria of first love and the power of boyhood friendships.",India Premiere,"Youth Award, Cannes Film Festival 2024","Cannes Film Festival 2024, Karlovy Vary International Film Festival 2024, Vancouver International Film Festival 2024",Clip from Holy Cow! (Vingt Dieux) - YouTube,"Films By Women, Coming of Age",Pyramide International,press kit,Holy Cow,press kit,hcdpinter240612ld.pdf,,,,2024
International Competition,I am Nevenka,Soy Nevenka,"Spain, Italy",2024,Spanish,110',Colour,Icíar Bollaín,"Born in Madrid in 1967, Iciar Bollaín began her career in the world of cinema as an actress, before gradually foraying into film direction. She went on to direct one of her biggest hits Take My Eyes (2003), winner of Goya Awards for Best Director and Best Screenplay at Spain’s national film awards. Her work as a filmmaker is characterised by a commitment to major issues such as domestic violence (Take my Eyes), the Basque question (Maixabel) or the water war in Bolivia (Even the Rain).","Koldo Zuazua, Guillermo Sempere, Juan Moreno","Iciar Bollain, Isa Campo",Gris Jordana,Nacho Ruiz Capillas,"Mireia Oriol, Urko Olazábal, Ricardo Gómez, Carlos Serrano, Lucía Veiga","Soy Nevenka dramatises the case of Nevenka Fernández, a member of the Ponferrada City Council who in 2001 became the first woman in Spain to win a court case for sexual harassment against a high-ranking politician – her ex boyfriend and all-powerful Ponferrada mayor Ismael Alvárez. Relentlessly hounded by the mayor, a man used to getting his way both politically and personally, a twenty-three year old Nevenka decides to report him, knowing fully well that it will cost her dearly. What follows is a gripping and intense drama that tells the story of a pioneer of the Spanish MeToo movement.",India Premiere,"Euskadi Basque Country 2030 Agenda Award, San Sebastian International Film Festival 2024","San Sebastián International Film Festival 2024, BFI London Film Festival 2024,Hamburg Film Festival, 2024, Zurich Film Festival, 2024",I AM NEVENKA trailer | BFI London Film Festival 2024 - YouTube,"Films By Women, Historical, Social Impact, De/Gendered",Book My Show,Iciar Bollain _1.jpeg,NVK-MireiaOriol-Nevenka-FontGarcia-Abogado-1600x900.jpeg,,,,,,2024
International Competition,Panopticon,Panoptikoni,"Georgia, France, Italy, Romania",2024,Georgian,95',Colour,George Sikharulidze,"A Georgian-American filmmaker, George Sikharulidze holds a B.S. in Media Communications from New York University and an M.F.A. in Film Directing from Columbia University. His short films –The Fish that Drowned (2014), Red Apples (2016), A New Year (2018) and Fatherland (2019)– have premiered at renowned festivals such as Toronto International Film Festival and Sundance Film Festival. His first feature project Panopticon was selected at the Cinéfondation Residence of Cannes Film Festival as well as the Torino Script Lab (2019). Apart from writing and directing, George is a professor of filmmaking at Tisch School of the Arts.",Vladimer Katcharava,George Sikharulidze,Oleg Mutu,Giorgia Villa,"Data Chachua, Ia Sukhitashvili, Vakho Kedeladze, Vakhtang Kedeladze, Salome Gelenidze, Marita Meskhoradze, Andro Japaridze, Malkhaz Abuladze","When Sandro’s father decides to devote his existence to God and leaves for a monastery, the introverted teenager finds himself deprived of the fundamental certainties of life. Alone and abandoned during his formative years - with a mother illegally working abroad and a grandmother too old to substitute a parent - Sandro embarks on a dizzying journey of self-discovery, opening up both to a new friendship with the right-wing radical Lasha and also to the chance to explore his burgeoning sexuality, a trial that will eventually prove to be a revelation of his humanity.",India Premiere,Ecumenical Jury Commendation - Karlovy Vary 2024,"Karlovy Vary International Film Festival 2024, Palić European Film Festival 2024",Panopticon (Trailer) - Giffoni Film Festival 2024 - Generator +18 - YouTube,"Coming of Age, Social Impact, Global Politics",,Director.jpg,Panopticon,Poster.jpg,PressKit.pdf,,,,2024
International Competition,Pierce,Cì Xīn Qiè Gŭ,"Singapore, Taiwan, Poland",2024,Mandarin,107',Colour,Nelicia Low,"A former National Fencer for Singapore, Nelicia graduated in 2018 with an MFA in Film Directing from Columbia University in New York. Her short film Freeze, about her relationship with her autistic brother, premiered at the 38th Clermont-Ferrand international Short Film Festival in 2016 and went on to screen at over 70 festivals around the world. She was previously selected for the 2018 Singapore IFF’s Southeast Asian Film Lab and the 2019 Less is More European film lab, and was chosen for the New Waves: Emerging Voices of Southeast Asia director showcase in 2017. Pierce is her debut feature.","Sam Chua Weishi, Jeremy Chua, Patrick Mao Huang, Izabela Igel, John M. Lo",Nelicia Low,Michal Dymek,"Nelicia Low, Eric Mendelsohn","Ding Ning , Tsao Yu-Ning, Liu Hsiu-Fu, Lin Tsu-Heng","High school fencer Zijie’s older brother Zihan is being released early from juvenile prison, where he has served seven years for killing an opponent in a fencing match. Zihan vehemently insists on his innocence, and, behind their mother’s back, the torn brotherly bond gradually begins to heal as Zihan helps Jie perfect his fencing skills. But the initially energetic clinking of sabres is slowly drowned out by silent doubts: is Zihan really innocent? Nelicia Low’s gripping and atmospheric directorial debut offers a nerve-wracking duel between the ideals of brotherly love and the illusions that we project onto those close to us.",India Premiere,"Best Director, Karlovy Vary International Festival 2024","Karlovy Vary International Film Festival 2024, Busan International Film Festival 2024",PIERCE - 2024 Teaser - YouTube,"Films By Women, Thriller",Magnify,Nelicia Low Portrait_Photographed by Amanda Koh.jpeg,2. Pierce - Selected Stills,PIERCE_KVIFF_FESTIVAL POSTER_RGB.png,Pierce_Electronic Press Kit_3 Jul.pdf,,,,2024
International Competition,Red Path,Les Enfants Rouges,"Tunisia, France, Belgium, Poland, Saudi Arabia, Qatar",2024,Arabic,100',Colour,Lotfi Achour,"A theatre and cinema director from Tunisia, Lotfi Achour has directed more than twenty-five theatrical productions in the UK, France, and Tunisia. He has also directed three short films, including La Laine sur le dos (2016), which was nominated in the Short Film Category at the 69th Cannes International Film Festival.","Anissa Daoud, Sébastien Hussenot, Lotfi Achour","Natacha de Pontcharra, Lotfi Achour",Wojciech Staroń,"Ewin Ryckaert, Malek Chatta","Ali Helali, Yassine Samouni, Wided Dabebi, Jemii Lamari, Latifa Gafsi","Mghila Mountain, Tunisia, November 2015. Two young shepherds, Nizar and Achraf, are grazing their cattle in a secluded meadow, unaware of its status as a militarised zone. A sudden encounter with a group of jihadists results in a horrifying act of violence. Traumatized and reeling from the encounter, Achraf carries his terrible burden down the mountain, where he will be confronted by the helplessness of his elders, themselves forsaken by the authorities. Inspired by real events and deeply rooted in a ruthless social context, Red Path is a dreamlike journey into the wounded psyche of a child and his incredible ability to overcome trauma.",India Premiere,,"Locarno International Film Festival 2024, Vancouver International Film Festival 2024",RED PATH Trailer | VIFF 2024 - YouTube,"Thriller, Social Impact, Global Politics",MPM Premium,Lotfi Achour_cr Anetta Mitrofanova.jpg,Red Path,les_enfants_rouges_Teaser Poster.jpg,Presskit - RED PATH.pdf,,,,2024
International Competition,Shepherds,Bergers,"Canada, France",2024,French,113',Colour,Sophie Deraspe,"One of the leading figures of new Quebec cinema, Sophie Deraspea fell in love with cinema during her Visual Arts studies in Austria and Literature studies at the University of Ottawa and Montreal. Her feature films and documentaries have been screened and won awards at major international festivals. Her 2019 film Antigone won Best Canadian Feature at the Toronto International Film Festival, and was also chosen to represent Canada at the Oscars.","Kim McCraw, Luc Déry, Élaine Hébert, Caroline Bonmarchand, Xenia Sulyma","Sophie Deraspe, Mathyas Lefebure",Vincent Gonneville,Stéphane Lafleur,"Félix-Antoine Duval, Solène Rigot, Guilaine Londez, Michel Benizri, David Ayala, Véronique Ruggia Saura, Younès Boucif","Following a medical wake-up call, Montréal copywriter Mathyas Lefebure abandons his life in Canada to reinvent himself as a sheep herder in the French Alps, despite knowing literally nothing about the centuries-old craft. Ever the romantic, he is clouded by bucolic visions and dreams of writing a book in untroubled pastoral repose. What he finds is very different: the brutal life-and-death realities of sheep farming and the viciousness and cruelty of isolated men. After a rough start, he’s joined by Élise, a civil servant tempted by his stories of pastoral life, and together they commit to a summer on the mountainside. Just the two of them. And one border collie. And 800 sheep. Adapted from a semi-autobiographical novel by Mathyas Lefebure and set in the breathtaking French Alps, Shepherds is an epic of personal growth, posing tough questions about how best to live in order to feel free.",India Premiere,"Best Canadian Feature Film Award, Toronto International Film Festival 2024","Toronto International Film Festival 2024, Vancouver International Film Festival 2024",SHEPHERDS Trailer | VIFF 2024 - YouTube,"Films By Women, Ecology",Pyramide International,sophie.jpeg,Shepherds,poster.png,,,,,2024
International Competition,The New Year That Never Came,Anul Nou Care N-a Fost,Romania,2024,"Romanian, Serbian",138',Colour,Bogdan Muresanu,"Bogdan Muresanu shifted from literature and advertising to screenwriting when he won the HBO TIFF Scriptwriting Competition for the short script The Human Touch (2008). He is best known as the scriptwriter of Sandals, a short animated film that won numerous international awards, including the Youth Jury Award at Clermont-Ferrand in 2020. He is also known for his short film The Christmas Gift, winner of the European Film Academy Award for Best Short Film 2019.","Bogdan Mureșanu, Vanja Kovacevic",Bogdan Muresanu,"Boróka Biró, Tudor Platon","Vanja Kovacevic, Mircea Lacatus","Adrian Vancica, Nicoleta Hâncu, Emilia Dobrin, Iulian Postelnicu, Mihai Cǎlin, Andrei Miercure","December 20th 1989. After decades of all-pervasive oppression under the brutal Ceaușescu dictatorship, Romania stands on the brink of revolution. The streets are alive with demonstrations; students mock the regime through art, while official New Year’s shows glorify Ceausescu. Behind closed doors, families grapple with personal conflicts and the omnipresent Secret Police. Over the course of a single day, six seemingly unconnected lives intersect in unexpected ways, mapping out the painful absurdities of lives governed both by fear and hopeful glimpses of a better future. As tensions reach a boiling point, an explosive moment brings them together, culminating in the dramatic fall of Ceausescu and the communist regime.",India Premiere,"Orizzonti Award for Best Film, and Special Mention: Authors Under 40 Award, Venice International Film Festival 2024","Venice International Film Festival 2024, Vancouver International Film Festival 2024",The New Year That Never Came - Trailer (2024) - YouTube,"Historical, Global Politics",Cercamon,Bogdan.JPG,Stills,Available on press kit,TNYTNC presskit.pdfk,https://www.instagram.com/muresanu.bogdan?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://x.com/bogdanmuresanu,,2024
International Competition,Toxic,Akiplėša,Lithuania,2024,Lithuanian,99',Colour,Saulė Bliuvaitė,"Film director and screenwriter Saulė Bliuvaitė graduated from the Lithuanian Academy of Music and Theatre’s Film Directing program in 2018. Her short film Limousine (2021) received the Best Short Documentary award at the Warsaw Film Festival. Saule is also the co-writer and co-editor of the historical drama Isaac, nominated for a FIPRESCI prize at the 2020 European Film Awards. Toxic is her debut feature.",Giedrė Burokaitė,Saulė Bliuvaitė,Vytautas Katkus,Ignė Narbutaitė,"Vesta Matulytė, Ieva Rupeikaitė, Giedrius Savickas, Vilma Raubaitė, Eglė Gabrėnaitė","Abandoned by her mother, thirteen-year-old Marija has trouble fitting into the gray industrial town where she now lives with her grandmother. She begins to form a tentative and volatile bond with rebellious peer Kristina, and the two enroll in a local modeling school that promises its pupils the chance of a glamorous life far away from their bleak and isolated existence. But the financial and physical demands of the school force them to come up with increasingly extreme and dangerous ways to conform their young bodies to impossible standards of beauty. An aptly titled coming-of-age tale set amidst contaminated physical and social landscapes, Toxic has at its centre an exploration of the human body in all its frailty and glory.",India Premiere,"Golden Leopard, and Swatch First Feature Award, Ecumenical Jury Prize, Locarno International Film Festival 2024","Locarno International Film Festival 2024, Vancouver International Film Festival 2024, Chicago International Film Festival 2024",Toxic | Trailer | Film Fest Gent 2024 - YouTube,"Films By Women, Coming of Age, Festival Hits, De/Gendered",Bendita Film Sales,Director.jpg,Toxic,Poster.jpg,TOXIC_Press_Kit.pdf,,,,2024
